Row,Identifier 1,Identifier 2,Comment,Preparation,Method,Time Code,Amount,Peak Nr,Start,Width,Ampl  28,Area 28,BGD 28,d 15N/14N,Ampl  44,Area 44,d 13C/12C,BGD 44,BGD 45,BGD 46,R 29N2/28N2,R 45CO2/44CO2,R 46CO2/44CO2
13,Blue Grama,D9,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:06:02,1.04,3,255,52.5,2578,107.514,16.7,-1.283,,,,,,,0.007347,,
13,Blue Grama,D9,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:06:02,1.04,4,350.9,165.9,1319,68.545,16.5,0.951,,,,,,,0.0073634,,
13,Blue Grama,D9,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:06:02,1.04,5,725.2,201.9,,,,,2433,162.714,-12.302,0.6,-0.0,0.9,,0.0118385,0.0039349
13,Blue Grama,D9,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:06:02,1.04,6,1179,57.3,,,,,3806,156.701,-3.7,1.2,0.6,1.4,,0.0119328,0.003917
14,Blue Grama,D10,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:14:37,0.492,1,76.3,52.5,2576,107.412,15.9,-1.225,,,,,,,0.0073474,,
14,Blue Grama,D10,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:14:37,0.492,2,165.7,52.5,2582,107.622,15.8,-1.25,,,,,,,0.0073472,,
14,Blue Grama,D10,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:14:37,0.492,3,255,52.7,2584,107.747,15.6,-1.276,,,,,,,0.007347,,
14,Blue Grama,D10,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:14:37,0.492,4,352.8,152.8,604,32.388,15.6,0.526,,,,,,,0.0073603,,
14,Blue Grama,D10,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:14:37,0.492,5,728.4,186.6,,,,,1190,77.425,-12.27,0.3,-0.4,0.3,,0.0118406,0.0039514
14,Blue Grama,D10,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:14:37,0.492,6,1179,57.1,,,,,3818,157.388,-3.7,0.3,-0.4,0.2,,0.0119328,0.003917
15,Blue Grama,D11,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:23:14,2.435,1,76.5,52.3,2572,107.09,15.2,-1.217,,,,,,,0.0073474,,
15,Blue Grama,D11,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:23:14,2.435,2,165.7,52.5,2579,107.468,15.2,-1.25,,,,,,,0.0073472,,
15,Blue Grama,D11,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:23:14,2.435,3,255,52.7,2579,107.59,15.1,-1.304,,,,,,,0.0073468,,
15,Blue Grama,D11,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:23:14,2.435,4,350.1,180.4,3257,163.196,15.1,1.303,,,,,,,0.007366,,
15,Blue Grama,D11,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:23:14,2.435,5,720.6,227,,,,,5143,383.772,-12.26,-0.1,-0.9,-0.2,,0.0118376,0.0039218
15,Blue Grama,D11,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:23:14,2.435,6,1179,57.9,,,,,3819,157.238,-3.7,3.0,2.8,4.1,,0.0119328,0.003917
16,Blue Grama,D12,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:31:50,3.484,1,76.3,52.7,2584,107.89,16.8,-1.229,,,,,,,0.0073474,,
16,Blue Grama,D12,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:31:50,3.484,2,165.7,52.5,2578,107.582,16.6,-1.25,,,,,,,0.0073472,,
16,Blue Grama,D12,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:31:50,3.484,3,255,52.7,2581,107.618,16.3,-1.284,,,,,,,0.007347,,
16,Blue Grama,D12,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:31:50,3.484,4,349.4,188.1,5057,248.66,16.2,1.451,,,,,,,0.0073671,,
16,Blue Grama,D12,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:31:50,3.484,5,716.7,242.2,,,,,6846,562.144,-12.188,0.1,-0.6,0.2,,0.0118379,0.0039165
16,Blue Grama,D12,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:31:50,3.484,6,1179.2,57.5,,,,,3812,157.028,-3.7,4.3,4.4,6.1,,0.0119328,0.003917
17,Blue Grama,E1,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:40:26,1.52,1,76.5,52.5,2573,107.517,17.8,-1.218,,,,,,,0.0073474,,
17,Blue Grama,E1,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:40:26,1.52,2,165.7,52.5,2576,107.685,17.5,-1.25,,,,,,,0.0073472,,
17,Blue Grama,E1,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:40:26,1.52,3,255.2,52.5,2584,108.002,17.1,-1.288,,,,,,,0.0073469,,
17,Blue Grama,E1,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:40:26,1.52,4,349.2,173.9,2057,105.159,16.9,1.213,,,,,,,0.0073653,,
17,Blue Grama,E1,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:40:26,1.52,5,722.9,212.6,,,,,3460,240.265,-12.191,0.6,-0.0,0.9,,0.0118391,0.0039283
17,Blue Grama,E1,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:40:26,1.52,6,1179,57.9,,,,,3817,157.304,-3.7,1.8,1.4,2.3,,0.0119328,0.003917
18,Blue Grama,E2,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:49:02,2.106,1,76.3,52.5,2586,107.779,16.4,-1.19,,,,,,,0.0073476,,
18,Blue Grama,E2,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:49:02,2.106,2,165.7,52.5,2579,107.704,16.3,-1.25,,,,,,,0.0073472,,
18,Blue Grama,E2,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:49:02,2.106,3,255,52.5,2583,107.628,16.1,-1.281,,,,,,,0.007347,,
18,Blue Grama,E2,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:49:02,2.106,4,349.4,178.1,2889,145.522,16.0,1.392,,,,,,,0.0073666,,
18,Blue Grama,E2,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:49:02,2.106,5,720,222,,,,,4617,336.517,-12.314,0.2,-0.4,0.2,,0.0118372,0.0039235
18,Blue Grama,E2,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:49:02,2.106,6,1179,57.5,,,,,3800,156.587,-3.7,2.4,2.0,3.2,,0.0119328,0.003917
19,Blue Grama,E3,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:57:38,3.046,1,76.5,52.3,2581,107.485,16.7,-1.221,,,,,,,0.0073474,,
19,Blue Grama,E3,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:57:38,3.046,2,165.7,52.5,2585,107.802,16.5,-1.25,,,,,,,0.0073472,,
19,Blue Grama,E3,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:57:38,3.046,3,255,52.5,2586,107.658,16.2,-1.28,,,,,,,0.007347,,
19,Blue Grama,E3,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:57:38,3.046,4,350.5,183.5,4370,215.114,16.2,1.513,,,,,,,0.0073675,,
19,Blue Grama,E3,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:57:38,3.046,5,718.3,235.8,,,,,6218,488.757,-12.221,0.2,-0.5,0.3,,0.0118377,0.0039182
19,Blue Grama,E3,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 17:57:38,3.046,6,1179,57.7,,,,,3815,157.096,-3.7,3.6,3.5,5.1,,0.0119328,0.003917
20,Blue Grama,E4,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 18:06:14,4.593,1,76.5,52.5,2581,107.497,17.4,-1.196,,,,,,,0.0073476,,
20,Blue Grama,E4,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 18:06:14,4.593,2,165.7,52.5,2578,107.698,17.2,-1.25,,,,,,,0.0073472,,
20,Blue Grama,E4,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 18:06:14,4.593,3,255.2,52.5,2576,107.34,16.9,-1.288,,,,,,,0.0073469,,
20,Blue Grama,E4,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 18:06:14,4.593,4,349.7,193.7,6895,332.192,16.8,1.552,,,,,,,0.0073678,,
20,Blue Grama,E4,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 18:06:14,4.593,5,709.3,260.8,,,,,8323,747.703,-12.142,0.2,-0.5,0.5,,0.0118381,0.0039133
20,Blue Grama,E4,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 18:06:14,4.593,6,1179.2,57.7,,,,,3807,156.701,-3.7,6.0,6.4,8.5,,0.0119328,0.003917
21,Blue Grama,E5,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 18:14:50,4.084,1,76.5,52.5,2579,107.65,18.8,-1.21,,,,,,,0.0073475,,
21,Blue Grama,E5,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 18:14:50,4.084,2,165.7,52.5,2580,107.744,18.3,-1.25,,,,,,,0.0073472,,
21,Blue Grama,E5,UNM-CSI-2022-IsoCamp 2022-LO LBJ,standards,CN_C96 dilution,2022/06/25 18:14:50,4.084,3,255.2,52.3,2584,107.718,17.9,-1.294,,,,,,,0.0073469,,
