"IRMS.ID","Name","Species","Facility","Type","Matrix.1","Matrix.2","isotope.raw","isotope.expected"
"9_wg","Reference Gas","N","UNM CSI","Linearity","Reference Gas","Reference Gas",-1.294,0
"39","USGS40","N","UNM CSI","Normalization","Compound","High Organic",-4.531,-4.52
"45","USGS40","N","UNM CSI","Normalization","Compound","High Organic",-4.615,-4.52
"51","USGS40","N","UNM CSI","Normalization","Compound","High Organic",-4.611,-4.52
"57","USGS40","N","UNM CSI","Normalization","Compound","High Organic",-4.543,-4.52
"36","USGS61","N","UNM CSI","Normalization","Compound","High Organic",-2.918,-2.87
"42","USGS61","N","UNM CSI","Normalization","Compound","High Organic",-2.876,-2.87
"48","USGS61","N","UNM CSI","Normalization","Compound","High Organic",-2.848,-2.87
"54","USGS61","N","UNM CSI","Normalization","Compound","High Organic",-2.867,-2.87
"37","USGS63","N","UNM CSI","Normalization","Compound","High Organic",37.347,37.83
"43","USGS63","N","UNM CSI","Normalization","Compound","High Organic",37.364,37.83
"49","USGS63","N","UNM CSI","Normalization","Compound","High Organic",37.227,37.83
"55","USGS63","N","UNM CSI","Normalization","Compound","High Organic",37.376,37.83
"40","USGS88","N","UNM CSI","Normalization","Macromolecule","High Organic",14.917,14.96
"46","USGS88","N","UNM CSI","Normalization","Macromolecule","High Organic",14.799,14.96
"52","USGS88","N","UNM CSI","Normalization","Macromolecule","High Organic",14.742,14.96
"58","USGS88","N","UNM CSI","Normalization","Macromolecule","High Organic",15,14.96
"41","USGS89","N","UNM CSI","Normalization","Macromolecule","High Organic",6.279,6.25
"47","USGS89","N","UNM CSI","Normalization","Macromolecule","High Organic",6.282,6.25
"53","USGS89","N","UNM CSI","Normalization","Macromolecule","High Organic",6.05,6.25
"59","USGS89","N","UNM CSI","Normalization","Macromolecule","High Organic",6.265,6.25
"6","USGS90","N","UNM CSI","Normalization","Plant","Plant",8.379,8.84
"8","USGS90","N","UNM CSI","Normalization","Plant","Plant",8.337,8.84
"10","USGS90","N","UNM CSI","Normalization","Plant","Plant",8.37,8.84
"12","USGS90","N","UNM CSI","Normalization","Plant","Plant",8.236,8.84
"5","USGS91","N","UNM CSI","Normalization","Plant","Plant",1.63,1.78
"7","USGS91","N","UNM CSI","Normalization","Plant","Plant",1.476,1.78
"9","USGS91","N","UNM CSI","Normalization","Plant","Plant",1.281,1.78
"11","USGS91","N","UNM CSI","Normalization","Plant","Plant",1.505,1.78
"20799","CSI Blue Grama","N","U.S. EPA","Linearity","Plant","Plant",1.7,1.6
"20803","CSI Blue Grama","N","U.S. EPA","Linearity","Plant","Plant",1.71,1.6
"20807","CSI Blue Grama","N","U.S. EPA","Linearity","Plant","Plant",1.59,1.6
"20806","CSI Blue Grama","N","U.S. EPA","Linearity","Plant","Plant",1.95,1.6
"20802","CSI Blue Grama","N","U.S. EPA","Linearity","Plant","Plant",2.06,1.6
"20800","CSI Blue Grama","N","U.S. EPA","Linearity","Plant","Plant",1.95,1.6
"20808","CSI Blue Grama","N","U.S. EPA","Linearity","Plant","Plant",2.01,1.6
"20805","CSI Blue Grama","N","U.S. EPA","Linearity","Plant","Plant",2,1.6
"20801","CSI Blue Grama","N","U.S. EPA","Linearity","Plant","Plant",1.98,1.6
"20809","CSI Casein","N","U.S. EPA","Linearity","High Organic","High Organic",5.67,6.43
"20834","CSI Casein","N","U.S. EPA","Linearity","High Organic","High Organic",5.87,6.43
"20836","CSI Casein","N","U.S. EPA","Linearity","High Organic","High Organic",6.13,6.43
"20838","CSI Casein","N","U.S. EPA","Linearity","High Organic","High Organic",6.4,6.43
"20840","CSI Casein","N","U.S. EPA","Linearity","High Organic","High Organic",6.5,6.43
"20841","CSI Casein","N","U.S. EPA","Linearity","High Organic","High Organic",6.45,6.43
"20839","CSI Casein","N","U.S. EPA","Linearity","High Organic","High Organic",6.59,6.43
"20837","CSI Casein","N","U.S. EPA","Linearity","High Organic","High Organic",6.61,6.43
"20835","CSI Casein","N","U.S. EPA","Linearity","High Organic","High Organic",6.6,6.43
"20833","CSI Casein","N","U.S. EPA","Linearity","High Organic","High Organic",6.56,6.43
"20810","CSI Chile","N","U.S. EPA","Linearity","Plant","Plant",0.89,1.88
"20812","CSI Chile","N","U.S. EPA","Linearity","Plant","Plant",2.03,1.88
"20814","CSI Chile","N","U.S. EPA","Linearity","Plant","Plant",2.3,1.88
"20816","CSI Chile","N","U.S. EPA","Linearity","Plant","Plant",2.31,1.88
"20818","CSI Chile","N","U.S. EPA","Linearity","Plant","Plant",2.56,1.88
"20819","CSI Chile","N","U.S. EPA","Linearity","Plant","Plant",2.57,1.88
"20817","CSI Chile","N","U.S. EPA","Linearity","Plant","Plant",2.59,1.88
"20815","CSI Chile","N","U.S. EPA","Linearity","Plant","Plant",2.41,1.88
"20813","CSI Chile","N","U.S. EPA","Linearity","Plant","Plant",2.62,1.88
"20811","CSI Chile","N","U.S. EPA","Linearity","Plant","Plant",2.46,1.88
"20822","CSI Soil","N","U.S. EPA","Linearity","Soil","Soil",5.23,6.55
"20824","CSI Soil","N","U.S. EPA","Linearity","Soil","Soil",5.97,6.55
"20826","CSI Soil","N","U.S. EPA","Linearity","Soil","Soil",6.28,6.55
"20828","CSI Soil","N","U.S. EPA","Linearity","Soil","Soil",6.45,6.55
"20830","CSI Soil","N","U.S. EPA","Linearity","Soil","Soil",6.45,6.55
"20831","CSI Soil","N","U.S. EPA","Linearity","Soil","Soil",6.64,6.55
"20829","CSI Soil","N","U.S. EPA","Linearity","Soil","Soil",6.64,6.55
"20827","CSI Soil","N","U.S. EPA","Linearity","Soil","Soil",6.64,6.55
"20825","CSI Soil","N","U.S. EPA","Linearity","Soil","Soil",6.74,6.55
"20823","CSI Soil","N","U.S. EPA","Linearity","Soil","Soil",6.69,6.55
"20842","CSI Tuna","N","U.S. EPA","Linearity","High Organic","High Organic",11.82,13.32
"20849","CSI Tuna","N","U.S. EPA","Linearity","High Organic","High Organic",12.81,13.32
"20851","CSI Tuna","N","U.S. EPA","Linearity","High Organic","High Organic",13.03,13.32
"20853","CSI Tuna","N","U.S. EPA","Linearity","High Organic","High Organic",13.24,13.32
"20855","CSI Tuna","N","U.S. EPA","Linearity","High Organic","High Organic",13.24,13.32
"20856","CSI Tuna","N","U.S. EPA","Linearity","High Organic","High Organic",13.32,13.32
"20854","CSI Tuna","N","U.S. EPA","Linearity","High Organic","High Organic",13.37,13.32
